名称,类型,上映时间
扫毒2天地对决,剧情／动作／悬疑／犯罪,2019-07-05
白蛇：缘起,爱情／动画／奇幻,2019-01-11
反贪风暴4,剧情／动作／犯罪,2019-04-04
小丑,剧情／惊悚／犯罪,2019-10-04
银河补习班,剧情／家庭,2019-07-18
毒液：致命守护者,动作／惊悚／科幻,2018-11-09
战狼三级班,短片,2017
羞辱,剧情,2017-08-31
美人鱼,喜剧／爱情／科幻,2016-02-08
我非英雄,剧情,
复仇者联盟3：无限战争,动作／冒险／科幻,2018-05-11
变形金刚7,动作／科幻／冒险,2019-06-28
报告老师！怪怪怪怪物！,剧情／恐怖,2017-04-23
名侦探柯南：绀青之拳,动画／悬疑／动作,2019-09-13
动物世界,动作／悬疑／冒险,2018-06-29
老师·好,剧情／喜剧,2019-03-22
路人女主的养成方法 剧场版,爱情／动画,2019-10-26
新喜剧之王,剧情／喜剧,2019-02-05
唐山大地震,剧情／历史／灾难,2010-07-22
命运之夜——天之杯II ：迷失之蝶,剧情／动画／奇幻,2019-07-12
纽约唐人街碎尸案,剧情,1961
速度与激情7,动作／惊悚／犯罪,2015-04-12
无名之辈,剧情／喜剧／犯罪,2018-11-16
江湖儿女,爱情／犯罪,2018-09-21
麦路人,剧情,2019-10-29
沉睡魔咒2,冒险／家庭／奇幻,2019-10-18
上海堡垒,科幻／爱情／战争,2019-08-09
哆啦A梦：大雄的新恐龙,动画,2020-03
后来的我们,剧情／爱情,2018-04-28
大约在冬季,剧情／爱情,2019-11-15
小黄人大眼萌：神偷奶爸前传,喜剧／动画,2021-07-02
最好的我们,爱情／青春,2019-06-06
诛仙1,古装／爱情／奇幻,2019-09-13
疯狂动物城,动画／动作／冒险,2016-03-04
当幸福来敲门,剧情／家庭／传记,2008-01-17
羞羞的铁拳,喜剧／奇幻,2017-09-30
泰坦尼克号3D,爱情／灾难／剧情,2012-04-10
名侦探柯南特典：怪盗基德诞生的秘密,剧情／悬疑／犯罪,2010-04-24
湄公河行动,剧情／动作／犯罪,2016-09-30
比悲伤更悲伤的故事,剧情／爱情,2019-03-14
小人物,喜剧,
逃出绝命镇,恐怖／惊悚／悬疑,2017-01-23
侏罗纪世界2,动作／冒险／科幻,2018-06-15
追龙Ⅱ,犯罪／剧情／动作,2019-06-06
环太平洋：雷霆再起,动作／冒险／科幻,2018-03-23
误杀瞒天记,剧情／悬疑／犯罪,2015-07-30
野性的呼唤,剧情／冒险,1992-12-28
儿童警察 电影版,喜剧／动作,2013-03-20
角头2：王者再起,剧情／动作／犯罪,2018-02-15
芳华,剧情／爱情／战争,2017-12-15
飞驰人生,喜剧／动作,2019-02-05
盗墓笔记,惊悚／悬疑／奇幻,2016-08-05
下一任：前任,爱情,2019-05-01
狮子王,剧情／动画／冒险,2019-07-12
钢铁侠4,剧情／动作／科幻,
老炮儿,剧情／动作,2015-12-24
一出好戏,剧情／喜剧,2018-08-10
阿丽塔：战斗天使,动作／冒险／科幻,2019-02-22
王牌特工：特工学院,喜剧／动作／冒险,2015-03-27
复仇者联盟2：奥创纪元,动作／科幻／奇幻／冒险,2015-05-12
使徒行者2：谍影行动,剧情／动作／犯罪,2019-08-07
让子弹飞,剧情／喜剧／动作／西部,2010-12-16
寻梦环游记,动画／冒险／家庭,2017-11-24
冰雪奇缘,喜剧／动画／歌舞／奇幻,2014-02-05
惊悚,短片,2017-06-03
紫罗兰永恒花园,动画／短片,2018-07-04
妖猫传,爱情／奇幻,2017-12-22
大侦探皮卡丘,冒险／奇幻／喜剧,2019-05-10
银翼杀手2049,剧情／科幻／惊悚,2017-10-27
盗梦空间,剧情／科幻／悬疑／冒险,2010-09-01
终结者：黑暗命运,动作／冒险／科幻,2019-11-01
蜡笔小新：激战！涂鸦王国和约四位勇士,动画,2020-04-24
哈利·波特禁忌之旅,短片／冒险,2010-06-18
加勒比海盗5：死无对证,喜剧／动作／奇幻,2017-05-26
熊出没的开垦地,动作,1932-04-14
拆弹·专家,动作／悬疑／犯罪,2017-04-28
利刃出鞘,剧情／悬疑／惊悚／犯罪,2019-11-29
饥饿站台,科幻／惊悚,2019-09-06
追龙,动作／犯罪,2017-09-30
惊天营救,动作／惊悚／犯罪,2020-04-24
熊出没·变形记,喜剧／动画／冒险,2018-02-16
天堂电影院,剧情／爱情,1988-11-17
小丑回魂2,剧情／恐怖／奇幻,2019-09-06
蝙蝠侠：黑暗骑士崛起,剧情／动作／科幻／惊悚／犯罪,2012-08-27
三少爷的剑,剧情／动作／武侠,2016-12-02
从你的全世界路过,喜剧／爱情,2016-09-29
与神同行2：因与缘,动作／奇幻,2018-08-01
怦然心动,剧情／喜剧／爱情,2010-07-26
狄仁杰之四大天王,动作／悬疑／奇幻／武侠／古装,2018-07-27
速度与激情6,动作／惊悚／犯罪,2013-07-26
世界最大的影视城: 横店影视城,纪录片,2007-09-01
罗小黑战记,动画／动作／奇幻,2019-09-07
“大”人物,动作／犯罪,2019-01-10
何以为家,剧情,2019-04-29
无双,动作／惊悚／犯罪,2018-09-30
末日崩塌,动作／冒险／灾难,2015-06-02
寄生虫,剧情／科幻,2019-05-21
冰海陷落,动作／战争,2018-10-19
看不见的客人,犯罪／悬疑／惊悚,2017-09-15
新世纪福音战士：真人版,剧情／动作／科幻,2019-06-21
我的爸爸是森林之王Ⅱ,喜剧／动画,
电影 Smile 光之美少女! 儿童图画书里的世界都不协调！,动画,2012-10-27
胖子行动队,喜剧／动作,2018-09-30
正义联盟,动作／冒险／科幻,2017-11-17
风中有朵雨做的云,剧情／悬疑／犯罪,2019-04-04
人再囧途之泰囧,喜剧,2012-12-12
王牌特工2：黄金圈,动作／冒险／喜剧,2017-10-20
惊奇队长,动作／冒险／科幻,2019-03-08
封神传奇,动作／奇幻／古装,2016-07-29
鬼话怪谈·祥云寺,惊悚／恐怖,2017-02-24
盗爱空间之私人电影,爱情,2016-05-10
乐高蜘蛛侠：缠人的毒液,动作／动画／短片,2019-08-03
平凡老爸,喜剧,
悲伤逆流成河,剧情／爱情／家庭,2018-09-21
熊出没之雪岭熊风,动画／喜剧／冒险,2015-01-30
神奇女侠,动作／冒险／奇幻,2017-06-02
美丽人生,战争／剧情／爱情,2020-01-03
蝙蝠侠大战超人：正义黎明,动作／科幻／奇幻,2016-03-25
西游记女儿国,喜剧／爱情／动作,2018-02-16
大话西游之大圣娶亲,喜剧／爱情／奇幻／古装,2014-10-24
老千2：神之手,剧情／犯罪,2014-09-03
变身特工,喜剧／动作／科幻／动画／冒险,2020-01-03
肖申克的救赎,剧情／犯罪,1994-09-10
命运之夜 无限剑制 Sunny Day,动画,2015-10-07
摔跤吧！爸爸,喜剧／动作／家庭,2017-05-05
扫毒,剧情／犯罪,2013-11-29
第一滴血5：最后的血,动作／冒险／惊悚,2019-09-20
环太平洋,动作／科幻／冒险,2013-07-31
功夫,喜剧／动作／犯罪,2004-12-23
同人哆啦A梦：大雄的喜马拉雅行进记,动画,2018-05-24
地久天长,剧情,2019-03-22
野性的呼唤：育空的狗,冒险,1997-04-01
变形金刚4：绝迹重生,动作／科幻,2014-06-27
猛禽小队和哈莉·奎茵,动作／犯罪／冒险,2020-02-05
哥斯拉,动作／科幻／冒险／灾难,2014-06-13
爵迹,奇幻／动作／冒险,2016-09-30
小花仙大电影：奇迹少女,动画／奇幻／歌舞,
星球大战：最后的绝地武士,动作／冒险／科幻,2018-01-05
大话西游之月光宝盒,喜剧／爱情／奇幻／古装,2014-10-24
X战警：黑凤凰,动作／冒险／科幻,2019-06-06
若能与你共乘海浪之上,奇幻／爱情／动画,2019-12-07
危城,剧情／动作／犯罪,2016-08-12
大黄蜂,动作／冒险／科幻,2019-01-04
我想吃掉你的胰脏,剧情／爱情／动画,2019-01-18
海市蜃楼,悬疑／科幻／爱情,2019-03-28
碟中谍6：全面瓦解,动作／惊悚／冒险,2018-08-31
名侦探柯南 十年后的陌生人,动画,2009-06-17
僵尸世界大战,动作／科幻／恐怖,2013-06-02
命运之夜——天之杯：恶兆之花,剧情／动画／悬疑,2019-01-11
狐踪谍影,动作／战争,2020-01-10
蜘蛛侠：迷失复仇者,喜剧／短片,2015-10-29
头号玩家,动作／冒险／科幻,2018-03-30
驴得水,剧情／喜剧,2016-10-28
牧马人,剧情／爱情,1982
负重前行,剧情／恐怖／悬疑,2017-10-06
儿童电影史话,纪录片,2013-05-17
侏罗纪世界,动作／冒险／科幻,2015-06-10
密室逃生,惊悚／悬疑／犯罪,2019-01-18
画皮2,剧情／爱情／惊悚／奇幻,2012-06-28
变形金刚3,动作／科幻,2011-07-21
全职高手之巅峰荣耀,剧情／动画,2019-08-16
帕克,动作／惊悚／犯罪,2013-01-25
活着,剧情／家庭／历史,1994-05-17
路人女主的养成方法 Fine,喜剧／爱情／动画,2019-10-26
天上再见,战争／犯罪／剧情／喜剧,2019-04-30
名侦探柯南：零的执行人,动画／动作／悬疑,2018-11-09
生化危机：终章,动作／惊悚／科幻,2017-02-24
长城,剧情／冒险／奇幻,2016-12-16
死侍,喜剧／动作／科幻／冒险,2018-04-15
超凡蜘蛛侠2,动作／冒险／科幻,2014-05-04
魁拔V,动作／动画／奇幻／冒险,
画皮,剧情／爱情／惊悚／奇幻,2008-09-26
玩具总动员4,喜剧／动画／奇幻,2019-06-21
哥斯拉大战机械哥斯拉,动作／科幻／惊悚／恐怖,2002-11-02
移情大师,喜剧／爱情,2020-01-01
西游·降魔篇,喜剧／奇幻／冒险,2013-02-10
龙猫,动画／冒险／奇幻／家庭,2018-12-14
暗战,悬疑／恐怖,2019-08-15
请以你的名字呼唤我,剧情／爱情,2017-01-22
钢铁侠,动作／科幻／惊悚／冒险,2008-04-30
